data,codigo_estacao,nome_estacao,cota_cm,vazao_m3s,chuva_mm,rio,uf,municipio,bacia,sub_bacia,latitude,longitude,altitude,area_drenagem_km2,ano,mes,dia,trimestre,dia_semana,periodo_hidrologico,fonte_dados,nivel_consistencia,tipo_medicao,Dia_Maxima,Dia_Minima,cota_maxima_mes_cm,cota_media_mes_cm,cota_mediadiaria_mes_cm,cota_minima_mes_cm,uf_nome,operando
2021-02-11,13572000,ESPALHA (Seringal Belo Horizonte),1113.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,11,1,Thursday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-12,13572000,ESPALHA (Seringal Belo Horizonte),1109.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,12,1,Friday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-13,13572000,ESPALHA (Seringal Belo Horizonte),1095.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,13,1,Saturday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-14,13572000,ESPALHA (Seringal Belo Horizonte),1087.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,14,1,Sunday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-15,13572000,ESPALHA (Seringal Belo Horizonte),1083.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,15,1,Monday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-16,13572000,ESPALHA (Seringal Belo Horizonte),1081.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,16,1,Tuesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-17,13572000,ESPALHA (Seringal Belo Horizonte),1079.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,17,1,Wednesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-18,13572000,ESPALHA (Seringal Belo Horizonte),1078.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,18,1,Thursday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-19,13572000,ESPALHA (Seringal Belo Horizonte),1076.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,19,1,Friday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-20,13572000,ESPALHA (Seringal Belo Horizonte),1066.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,20,1,Saturday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
