AnoMes,Natureza da Carga,Sentido,ToneladasMovimentadas
2022-12,Granel Líquido e Gasoso,Embarcados,312656.13
2022-12,Granel Líquido e Gasoso,Não Informado,33.18
2022-12,Granel Sólido,Desembarcados,370761.497
2022-12,Granel Sólido,Embarcados,392220.059
2023-01,Carga Conteinerizada,Desembarcados,441256.268
2023-01,Carga Conteinerizada,Embarcados,200870.728
2023-01,Carga Conteinerizada,Não Informado,48.8
2023-01,Carga Geral,Desembarcados,246572.422
2023-01,Carga Geral,Embarcados,65342.409
2023-01,Granel Líquido e Gasoso,Desembarcados,462605.514
2023-01,Granel Líquido e Gasoso,Embarcados,288144.558
2023-01,Granel Sólido,Desembarcados,437238.677
2023-01,Granel Sólido,Embarcados,364935.49199999997
2023-02,Carga Conteinerizada,Desembarcados,445736.684
2023-02,Carga Conteinerizada,Embarcados,202363.22400000002
2023-02,Carga Geral,Desembarcados,129465.829
2023-02,Carga Geral,Embarcados,63547.675
2023-02,Granel Líquido e Gasoso,Desembarcados,404382.393
2023-02,Granel Líquido e Gasoso,Embarcados,266879.386
2023-02,Granel Líquido e Gasoso,Não Informado,12.534
2023-02,Granel Sólido,Desembarcados,643975.748
2023-02,Granel Sólido,Embarcados,605585.732
2023-03,Carga Conteinerizada,Desembarcados,455256.824
2023-03,Carga Conteinerizada,Embarcados,232881.557
2023-03,Carga Conteinerizada,Não Informado,76.71000000000001
2023-03,Carga Geral,Desembarcados,155305.243
2023-03,Carga Geral,Embarcados,77542.662
2023-03,Granel Líquido e Gasoso,Desembarcados,467458.632
2023-03,Granel Líquido e Gasoso,Embarcados,354480.288
2023-03,Granel Líquido e Gasoso,Não Informado,73.49000000000001
2023-03,Granel Sólido,Desembarcados,730522.506
2023-03,Granel Sólido,Embarcados,668450.498
2023-04,Carga Conteinerizada,Desembarcados,431588.202
2023-04,Carga Conteinerizada,Embarcados,238127.549
2023-04,Carga Conteinerizada,Não Informado,6.6000000000000005
2023-04,Carga Geral,Desembarcados,166975.687
2023-04,Carga Geral,Embarcados,64708.762
2023-04,Granel Líquido e Gasoso,Desembarcados,412304.537
2023-04,Granel Líquido e Gasoso,Embarcados,327335.484
2023-04,Granel Sólido,Desembarcados,727131.277
2023-04,Granel Sólido,Embarcados,711796.698
2023-05,Carga Conteinerizada,Desembarcados,463983.968
2023-05,Carga Conteinerizada,Embarcados,220717.714
2023-05,Carga Geral,Desembarcados,143738.488
2023-05,Carga Geral,Embarcados,67348.08
2023-05,Granel Líquido e Gasoso,Desembarcados,460687.016
2023-05,Granel Líquido e Gasoso,Embarcados,354603.755
2023-05,Granel Líquido e Gasoso,Não Informado,76.0
2023-05,Granel Sólido,Desembarcados,893863.316
2023-05,Granel Sólido,Embarcados,799397.251
2023-06,Carga Conteinerizada,Desembarcados,489878.402
2023-06,Carga Conteinerizada,Embarcados,243446.176
2023-06,Carga Conteinerizada,Não Informado,13.200000000000001
2023-06,Carga Geral,Desembarcados,135070.852
2023-06,Carga Geral,Embarcados,68085.705
2023-06,Granel Líquido e Gasoso,Desembarcados,542149.5430000001
2023-06,Granel Líquido e Gasoso,Embarcados,373385.889
2023-06,Granel Sólido,Desembarcados,845978.983
2023-06,Granel Sólido,Embarcados,690736.103
2023-07,Carga Conteinerizada,Desembarcados,484964.563
2023-07,Carga Conteinerizada,Embarcados,229762.405
