produto,classificao_produto,id_produto,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,0.84
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,0.6
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,4.44
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,8,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,8,PREÇO RECEBIDO P/ PRODUTOR,2.81
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,8,PREÇO RECEBIDO P/ PRODUTOR,3.24
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,8,PREÇO RECEBIDO P/ PRODUTOR,0.88
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,8,PREÇO RECEBIDO P/ PRODUTOR,0.65
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,8,PREÇO RECEBIDO P/ PRODUTOR,4.71
RASA,28 KG,12297,PA,NORTE,2026,5,PREÇO PAGO PELO PRODUTOR,40.0
RASA,14 KG,14091,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,30.0
RASA,28 KG,12297,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,40.0
RASPADOR,PARA SERINGUEIRO,13901,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,29.0
RASPADOR,PARA SERINGUEIRO,13901,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,28.0
RASTELO,NÃO INFORMADO,5547,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,25.0
RECOP,840 G/KG OXICLORETO,15174,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,90.0
REDUTOR DE PH,NÃO INFORMADO,11784,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,66.0
REFEICAO,RANCHO,11621,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,1200.0
REFEICAO,RANCHO,11621,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
REFEICAO,"RANCHO (CAFÉ, AÇÚCAR",14954,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,408.7
REFEITORIO,NÃO INFORMADO,9069,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,
REFEITORIO,NÃO INFORMADO,9069,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,
REFEITORIO,NÃO INFORMADO,9069,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,
REMO DE MADEIRA,NÃO INFORMADO,12375,AM,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,100.0
REMO DE MADEIRA,NÃO INFORMADO,12375,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,75.0
RODO,NÃO INFORMADO,5548,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,30.0
RODO,CACAU MADEIRA,12302,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,50.0
ROLO,COMPACTADOR,4940,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,165000.0
ROLO,COMPACTADOR,4940,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,165000.0
ROLO,COMPACTADOR,4940,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,165000.0
ROUNDUP,ORIGINAL 480 G/L GLI,4065,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,56.0
SACARIA DE POLIPROPILENO,60 KG,11632,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,3.25
SACARIA DE POLIPROPILENO,60 KG,11632,RO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,3.25
SACARIA DE POLIPROPILENO,60 KG,11632,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,5.0
SACARIA DE POLIPROPILENO,USADA 50,210,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,1.0
SACARIA DE POLIPROPILENO,"USADA, 50 KG, PARA F",14093,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,5.0
SACARIA POLIETILENO,60 KG,12903,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,5.0
SACO DE FIBRA,NÃO INFORMADO,12276,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,6.0
SACO DE FIBRA,60 KG,14958,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,5.0
SACO DE JUTA,NÃO INFORMADO,14945,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,33.0
SACO DE NAPA,30 KG,14144,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
SACO DE NYLON,120 LITROS,14244,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,13.0
SACO DE NYLON,50 KG,11669,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,4.8
SACO DE POLIPROPILENO 50,NÃO INFORMADO,14869,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,4.95
SACO DE RAFIA,45 KG,12372,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,8.0
SACO DE RAFIA,50 KG,15324,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,3.0
SACO DE RAFIA,NÃO INFORMADO,8369,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,2.5
SACO DE RAFIA,60 KG,12390,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,2.8
SACO DE RAFIA,"25 KG, PARA CEBOLA",13889,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,3.11
SACO PLASTICO,POLIETILENO CAPACIDA,12889,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,0.2
SALARIO MINIMO,NÃO INFORMADO,5467,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,AM,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,PA,NORTE,2026,5,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
SALARIO MINIMO,NÃO INFORMADO,5467,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
SCORE,NÃO INFORMADO,8565,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,139.38
SCORE,NÃO INFORMADO,8565,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,87.0
SCORE,NÃO INFORMADO,8565,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,87.0
SCORE FLEXI,EC 250 + 250 G/L PRO,12008,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,273.6
SCORE FLEXI,EC 250 + 250 G/L PRO,12008,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,268.0
SECADOR,5M X 3M - LONA 150 M,14101,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
SELECT,"EC 240 G/L + 646,52",14033,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,33.7
SELECT,"EC 240 G/L + 646,52",14033,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,31.5
SEMENTE DE ARROZ,"IRGA, 424, RI",12336,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,4.97
SEMENTE DE ARROZ,BRS PAMPEIRA,13985,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,4.93
SEMENTE DE ARROZ,BRS PAMPEIRA,13985,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,4.93
SEMENTE DE ARROZ,OS902CL,15505,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,7.0
SEMENTE DE ARROZ,BRS 709,15504,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,7.0
SEMENTE DE ARROZ,OS902CL,15505,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,7.0
SEMENTE DE ARROZ,BRS 709,15504,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,7.0
SEMENTE DE ARROZ,BRS PAMPEIRA,13985,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,4.93
SEMENTE DE ARROZ BRS A704,NÃO INFORMADO,13983,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,5.03
SEMENTE DE ARROZ BRS A704,NÃO INFORMADO,13983,TO,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,5.03
SEMENTE DE ARROZ BRS A704,NÃO INFORMADO,13983,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,5.03
SEMENTE DE CACAU,HÍBRIDA CEPLAC,12888,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,0.02
SEMENTE DE JUTA,NÃO INFORMADO,5271,AM,NORTE,2026,2,PREÇO PAGO PELO PRODUTOR,75.0
SEMENTE DE JUTA,NÃO INFORMADO,5271,AM,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,70.0
SEMENTE DE MALVA,NÃO INFORMADO,5272,AM,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,70.0
SEMENTE DE MILHO,TRATADA PRO 4 SEMENT,14522,PA,NORTE,2025,9,PREÇO PAGO PELO PRODUTOR,0.02
SEMENTE DE MILHO,FS 450 PWU FORSEED,14034,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,0.02
SEMENTE DE MILHO,FS 450 PWU FORSEED,14034,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,0.01
SEMENTE DE SOJA,DM 82I78,14016,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,0.0
SEMENTE DE SOJA,DM 82I78,14016,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,0.0
SEMENTE DE SORGO,BM 737 SEMENTES BIOM,14040,TO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,21.9
SISTEMA DE IRRIGACAO POR,125,15513,TO,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,300000.0
SISTEMA DE IRRIGACAO POR,NÃO INFORMADO,15442,RO,NORTE,2025,10,PREÇO PAGO PELO PRODUTOR,
SISTEMA DE IRRIGACAO POR,NÃO INFORMADO,15442,RO,NORTE,2025,11,PREÇO PAGO PELO PRODUTOR,
SOJA,EM GRÃOS,4744,AP,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.87
SOJA,EM GRÃOS,4744,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.03
SOJA,EM GRÃOS,4744,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.97
SOJA,EM GRÃOS,4744,RR,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.29
SOJA,EM GRÃOS,4744,TO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,2.12
SOJA,EM GRÃOS,4744,AP,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.0
SOJA,EM GRÃOS,4744,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.05
SOJA,EM GRÃOS,4744,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.0
SOJA,EM GRÃOS,4744,RR,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.29
SOJA,EM GRÃOS,4744,TO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.1
SOJA,EM GRÃOS,4744,AP,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,1.97
SOJA,EM GRÃOS,4744,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.07
SOJA,EM GRÃOS,4744,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,1.94
SOJA,EM GRÃOS,4744,RR,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.29
SOJA,EM GRÃOS,4744,TO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.09
SOJA,EM GRÃOS,4744,AP,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.97
SOJA,EM GRÃOS,4744,PA,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.1
SOJA,EM GRÃOS,4744,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.95
SOJA,EM GRÃOS,4744,TO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.05
SOJA,EM GRÃOS,4744,AP,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,1.99
SOJA,EM GRÃOS,4744,PA,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,2.0
SOJA,EM GRÃOS,4744,RO,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,1.89
SOJA,EM GRÃOS,4744,RR,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,2.59
SOJA,EM GRÃOS,4744,TO,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,1.92
SOJA,EM GRÃOS,4744,AP,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,1.97
SOJA,EM GRÃOS,4744,PA,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,1.96
SOJA,EM GRÃOS,4744,RO,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,1.79
