municipio_ceasa,cod_ibge_municipio,uf_ceasa,dsc_ceasa,dsc_produto,sig_unidade_medida,data_preco,preco_diario
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/03/07 00:00:00.000,2.87
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/03/05 00:00:00.000,2.87
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/03/14 00:00:00.000,3.1
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/03/12 00:00:00.000,3.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/03/26 00:00:00.000,2.94
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/03/28 00:00:00.000,3.44
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/09 00:00:00.000,2.41
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/23 00:00:00.000,2.59
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/11 00:00:00.000,3.06
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/10 00:00:00.000,2.41
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/30 00:00:00.000,2.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/02 00:00:00.000,2.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/09 00:00:00.000,2.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/16 00:00:00.000,3.89
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/07 00:00:00.000,2.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/02 00:00:00.000,2.96
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/04/25 00:00:00.000,2.59
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/06 00:00:00.000,2.78
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/04 00:00:00.000,2.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/11 00:00:00.000,2.36
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/13 00:00:00.000,2.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/30 00:00:00.000,2.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2023/10/17 00:00:00.000,3.33
