produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
BURITI,FRUTO,11117,MÂNCIO LIMA-AC,1200336,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,0.85
BURITI,FRUTO,11117,PRESIDENTE FIGUEIREDO-AM,1303536,AM,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.53
BURITI,FRUTO,11117,VIGIA-PA,1508209,PA,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.13
BURITI,FRUTO,11117,ALTO ALEGRE-RR,1400050,RR,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,1.65
CACAU CULTIVADO,NÃO INFORMADO,11953,MEDICILÂNDIA-PA,1504455,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,27.75
CACAU CULTIVADO,NÃO INFORMADO,11953,ARIQUEMES-RO,1100023,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,31.81
CACAU CULTIVADO,NÃO INFORMADO,11953,OURO PRETO DO OESTE-RO,1100155,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,31.83
CACAU CULTIVADO,NÃO INFORMADO,11953,MEDICILÂNDIA-PA,1504455,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,20.65
CACAU CULTIVADO,NÃO INFORMADO,11953,ARIQUEMES-RO,1100023,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,17.39
CACAU CULTIVADO,NÃO INFORMADO,11953,OURO PRETO DO OESTE-RO,1100155,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,21.76
CACAU CULTIVADO,NÃO INFORMADO,11953,MEDICILÂNDIA-PA,1504455,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,22.0
CACAU CULTIVADO,NÃO INFORMADO,11953,ARIQUEMES-RO,1100023,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,22.0
CACAU CULTIVADO,NÃO INFORMADO,11953,OURO PRETO DO OESTE-RO,1100155,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,21.26
CACAU CULTIVADO,NÃO INFORMADO,11953,MEDICILÂNDIA-PA,1504455,PA,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,23.52
CACAU CULTIVADO,NÃO INFORMADO,11953,ARIQUEMES-RO,1100023,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,22.46
CACAU CULTIVADO,NÃO INFORMADO,11953,OURO PRETO DO OESTE-RO,1100155,RO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,25.34
CACAU EXTRATIVO,AMÊNDOA,10920,BOCA DO ACRE-AM,1300706,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,32.0
