produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,4.72
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,4.72
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,4.72
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,4.72
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,5.58
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,5.36
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,5.79
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,5.36
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,5.58
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,4.0
